RK,Player,Pos,Team,Personal Rank,ADP,Projection
1,Jahmyr Gibbs,RB,DET,1.1,299.9,299.9
2,Bijan Robinson,RB,ATL,2.1,294.9,294.9
3,Ja'Marr Chase,WR,CIN,3.0,256.6,256.6
4,Puka Nacua,WR,LAR,4.2,259.0,259.0
5,Christian McCaffrey,RB,SF,6.2,260.0,260.0
6,Jonathan Taylor,RB,IND,7.8,256.3,256.3
7,Amon-Ra St. Brown,WR,DET,7.1,227.5,227.5
8,Jaxon Smith-Njigba,WR,SEA,5.5,235.1,235.1
9,James Cook,RB,BUF,10.1,247.3,247.3
10,Chase Brown,RB,CIN,14.7,230.7,230.7
11,CeeDee Lamb,WR,DAL,9.8,222.5,222.5
12,Justin Jefferson,WR,MIN,10.9,205.4,205.4
13,Derrick Henry,RB,BAL,17.0,240.4,240.4
14,Saquon Barkley,RB,PHI,13.4,228.2,228.2
15,De'Von Achane,RB,MIA,16.8,233.9,233.9
16,Kenneth Walker III,RB,KC,14.1,227.5,227.5
17,Omarion Hampton,RB,LAC,16.4,222.9,222.9
18,Nico Collins,WR,HOU,21.9,218.0,218.0
19,A.J. Brown,WR,NE,18.6,205.7,205.7
20,Brock Bowers,TE,LV,20.2,202.5,202.5
21,Drake London,WR,ATL,21.7,203.2,203.2
22,Malik Nabers,WR,NYG,22.8,184.3,184.3
23,Chris Olave,WR,NO,26.4,192.9,192.9
24,George Pickens,WR,DAL,23.7,203.7,203.7
25,DeVonta Smith,WR,PHI,27.7,189.2,189.2
26,Zay Flowers,WR,BAL,31.1,189.7,189.7
27,Emeka Egbuka,WR,TB,35.7,185.5,185.5
28,Ladd McConkey,WR,LAC,33.3,187.7,187.7
29,Rashee Rice,WR,KC,27.0,185.3,185.3
30,Ashton Jeanty,RB,LV,14.3,185.4,185.4
31,Breece Hall,RB,NYJ,32.2,196.5,196.5
32,Kyren Williams,RB,LAR,30.1,196.0,196.0
33,Trey McBride,TE,ARI,29.0,186.9,186.9
34,Javonte Williams,RB,DAL,33.7,190.8,190.8
35,Jaylen Waddle,WR,DEN,37.4,182.5,182.5
36,Travis Etienne Jr.,RB,NO,40.0,189.7,189.7
37,Josh Allen,QB,BUF,36.5,363.5,363.5
38,Tee Higgins,WR,CIN,34.9,184.9,184.9
39,Josh Jacobs,RB,GB,41.8,188.1,188.1
40,Luther Burden,WR,CHI,45.5,173.0,173.0
41,Jeremiyah Love,RB,ARI,29.5,193.0,193.0
42,Tetairoa McMillan,WR,CAR,40.4,182.5,182.5
43,Garrett Wilson,WR,NYJ,39.1,183.4,183.4
44,Colston Loveland,TE,CHI,44.1,173.4,173.4
45,D'Andre Swift,RB,CHI,44.6,191.5,191.5
46,David Montgomery,RB,HOU,47.2,192.1,192.1
47,Cam Skattebo,RB,NYG,46.5,182.2,182.2
48,Terry McLaurin,WR,WAS,48.3,176.8,176.8
49,Mike Evans,WR,SF,50.1,185.2,185.2
50,Davante Adams,WR,LAR,52.3,159.0,159.0
51,Bhayshul Tuten,RB,JAX,49.9,160.8,160.8
52,Bucky Irving,RB,TB,54.4,183.3,183.3
53,Lamar Jackson,QB,BAL,56.2,332.0,332.0
54,Christian Watson,WR,GB,57.0,176.1,176.1
55,Parker Washington,WR,JAX,57.5,174.4,174.4
56,D.J. Moore,WR,BUF,52.7,149.5,149.5
57,Jadarian Price,RB,SEA,60.7,140.0,140.0
58,Rome Odunze,WR,CHI,58.7,173.9,173.9
59,Carnell Tate,WR,TEN,62.2,166.0,166.0
60,Quinshon Judkins,RB,CLE,54.3,182.0,182.0
61,Jameson Williams,WR,DET,50.9,176.2,176.2
62,Brian Thomas,WR,JAX,64.3,164.4,164.4
63,Drake Maye,QB,NE,66.8,324.8,324.8
64,Tyler Warren,TE,IND,63.4,159.6,159.6
65,Jaylen Warren,RB,PIT,70.1,156.6,156.6
66,TreVeyon Henderson,RB,NE,58.7,155.5,155.5
67,Jalen Hurts,QB,PHI,72.2,314.5,314.5
68,Jayden Daniels,QB,WAS,69.0,312.7,312.7
69,Marvin Harrison,WR,ARI,66.5,155.2,155.2
70,Joe Burrow,QB,CIN,68.1,308.1,308.1
71,Caleb Williams,QB,CHI,73.2,303.3,303.3
72,Quentin Johnston,WR,LAC,75.3,134.9,134.9
73,Tucker Kraft,TE,GB,77.8,140.9,140.9
74,Rico Dowdle,RB,PIT,84.2,144.1,144.1
75,Makai Lemon,WR,PHI,81.3,161.0,161.0
76,Tony Pollard,RB,TEN,77.9,148.1,148.1
77,DK Metcalf,WR,PIT,74.1,152.3,152.3
78,Jonathon Brooks,RB,CAR,76.5,139.9,139.9
79,Rhamondre Stevenson,RB,NE,70.3,156.5,156.5
80,Jayden Reed,WR,GB,78.4,164.6,164.6
81,Justin Herbert,QB,LAC,83.7,299.5,299.5
82,Trevor Lawrence,QB,JAX,86.2,307.4,307.4
83,Dak Prescott,QB,DAL,80.1,303.9,303.9
84,Chuba Hubbard,RB,CAR,98.0,138.9,138.9
85,Chris Godwin,WR,TB,85.1,139.6,139.6
86,Sam LaPorta,TE,DET,92.3,158.5,158.5
87,Blake Corum,RB,LAR,87.5,129.8,129.8
88,Josh Downs,WR,IND,82.3,137.3,137.3
89,Michael Pittman Jr.,WR,PIT,100.6,136.4,136.4
90,Michael Wilson,WR,ARI,91.1,136.5,136.5
91,J.K. Dobbins,RB,DEN,95.9,147.2,147.2
92,Kyle Monangai,RB,CHI,107.9,145.1,145.1
93,Jordan Addison,WR,MIN,88.5,141.7,141.7
94,Harold Fannin,TE,CLE,104.6,143.4,143.4
95,Jaxson Dart,QB,NYG,103.8,300.5,300.5
96,Patrick Mahomes,QB,KC,97.1,288.7,288.7
97,Brock Purdy,QB,SF,102.2,305.2,305.2
98,Jordan Mason,RB,MIN,98.8,145.7,145.7
99,Rachaad White,RB,WAS,117.9,113.1,113.1
100,RJ Harvey,RB,DEN,88.1,127.6,127.6
101,Kenny Gainwell,RB,TB,108.9,130.8,130.8
102,Matthew Golden,WR,GB,101.5,141.1,141.1
103,Alec Pierce,WR,IND,94.3,150.9,150.9
104,Stefon Diggs,WR,WAS,94.2,108.0,108.0
105,Xavier Worthy,WR,KC,106.8,136.0,136.0
106,Courtland Sutton,WR,DEN,82.9,144.8,144.8
107,Kyle Pitts,TE,ATL,101.5,138.6,138.6
108,Jacory Croskey-Merritt,RB,WAS,100.8,120.4,120.4
109,Romeo Doubs,WR,NE,119.4,132.7,132.7
